<<<<<<< HEAD
#,编号,名称,卡牌颜色,类别,稀有度,蓝,红,卡牌效果
,F-R-001,翠石,无,基本资源,翠石,1,1,资源（1）
,F-R-002,黄晶,无,基本资源,翠石,2,2,资源（1）
,F-R-003,蓝钢,无,基本资源,翠石,3,3,资源（1）
,F-R-004,紫玉,无,基本资源,翠石,4,4,资源（1）
,F-R-005,黑磺石,红,资源,黄晶,1,1,临时资源（2）
,F-R-006,青晶石,红,资源,黄晶,2,2,临时资源（2）
,F-R-007,硫磺,红,资源,黄晶,3,3,临时资源（2）
,F-R-008,红水晶,红,资源,黄晶,4,4,临时资源（2）
,F-R-009,天然气,红,资源,蓝钢,1,1,资源（1）；被消耗时，你可以弃一张牌
,F-R-010,可燃冰,红,资源,蓝钢,2,2,资源（1）；被消耗时，抽一张牌。
,F-R-011,煤,红,资源,紫玉,3,2,资源（1）；位于资源区时，可以当作手牌再次压制打出。
,F-R-012,原油,红,资源,紫玉,4,3,位于蓝色牌手资源区：资源（1），临时资源（1）。位于红色牌手资源区：资源（2）。
,F-R-013,光伏电池,蓝,资源,黄晶,1,1,临时资源（2）
,F-R-014,沼气发电机,蓝,资源,黄晶,2,2,临时资源（2）
,F-R-015,便携风轮,蓝,资源,黄晶,3,3,临时资源（2）
,F-R-016,迷你核岛,蓝,资源,黄晶,4,4,临时资源（2）
,F-R-017,单库潮汐电站,蓝,资源,蓝钢,1,1,资源（1）；被消耗时洗入牌堆。
,F-R-018,太阳能帆板,蓝,资源,蓝钢,2,2,资源（1）；被消耗时回到你的手牌。
,F-R-019,星核地热,蓝,资源,紫玉,2,3,资源（1）；位于资源区时，堆叠顶点数计算时+1。
,F-R-020,重力场发电机,蓝,资源,紫玉,3,4,位于红色牌手资源区：资源（1），临时资源（1）。位于蓝色牌手资源区：资源（2）。
,F-C-001,伊奎先锋,红,生物/伊奎/战士,翠石,1,1,无
,F-C-002,伊奎教军,红,生物/伊奎/战士,翠石,2,2,无
,F-C-003,蛮荒小队,红,生物/伊奎/战士,翠石,3,3,无
,F-C-004,加护骑士,红,生物/伊奎/战士,翠石,4,4,无
,F-C-005,山贼伊奎,红,生物/伊奎/战士,翠石,5,5,无
,F-C-006,欺诈师,红,生物/弗尔/,翠石,6,6,无
,F-C-007,F-C-007,红,生物/弗尔/,翠石,7,7,仅同点压制才可打出
,F-C-008,F-C-008,红,生物/弗尔/,翠石,8,8,仅同点压制才可打出
,F-C-009,F-C-009,红,生物/德谟/,翠石,9,9,不可压制打出
,F-C-010,F-C-010,红,生物/德谟/,翠石,10,10,不可压制打出
,F-C-011,F-C-011,红,生物/伊奎/,翠石,0,1,无
,F-C-012,F-C-012,红,生物/伊奎/,翠石,1,2,无
,F-C-013,F-C-013,红,生物/伊奎/,翠石,2,3,无
,F-C-014,F-C-014,红,生物/伊奎/,翠石,3,4,无
,F-C-015,F-C-015,红,生物/伊奎/,翠石,4,5,无
,F-C-016,F-C-016,红,生物/弗尔/,翠石,5,6,无
,F-C-017,F-C-017,红,生物/弗尔/,翠石,6,7,仅同点压制才可打出
,F-C-018,F-C-018,红,生物/弗尔/,翠石,7,8,仅同点压制才可打出
,F-C-019,F-C-019,红,生物/德谟/,翠石,8,9,不可压制打出
,F-C-020,F-C-020,红,生物/德谟/,翠石,9,10,不可压制打出
,F-C-021,F-C-021,红,生物/伊奎/,黄晶,2,1,协同（1）。
,F-C-022,F-C-022,红,生物/伊奎/,黄晶,3,2,协同（1），协同打出时衰退（1）。
,F-C-023,F-C-023,红,生物/伊奎/,黄晶,4,3,协同（1），协同打出时衰退（1）。
,F-C-024,F-C-024,红,生物/伊奎/,黄晶,5,4,衰退（1）或协同（1）
,F-C-025,F-C-025,红,生物/伊奎/,黄晶,6,5,衰退（1）或协同（1）
